label,kind,selection_score,passes_dev_minus_2_trade_preserve,passes_strict_is,dev_return_pct,dev_trades,dev_pf,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
local_trend_orderly_body_1,local,-7.782011432499878,False,False,66.65496637080795,45.0,6.321492107306187,3.846207393448526,31.34399606113171,42.0,2.335971995633866,5.42104513484111,0.0,0.0,-2.395502858124967,3.0,Local grid around first-pass OOS winner.
local_trend_orderly_body_1.02,local,-9.886992640200397,False,False,66.65496637080795,45.0,6.321492107306187,3.846207393448526,30.81775075920658,42.0,2.290064421873555,5.42104513484111,0.0,0.0,-2.9217481600500967,3.0,Local grid around first-pass OOS winner.
local_trend_orderly_body_1.04,local,-9.886992640200397,False,False,66.65496637080795,45.0,6.321492107306187,3.846207393448526,30.81775075920658,42.0,2.290064421873555,5.42104513484111,0.0,0.0,-2.9217481600500967,3.0,Local grid around first-pass OOS winner.
local_trend_orderly_body_1.06,local,-11.058725734583355,False,False,65.483233276425,46.0,5.941174961155169,3.846207393448526,30.81775075920658,42.0,2.290064421873555,5.42104513484111,-1.171733094382958,1.0,-2.9217481600500967,3.0,Local grid around first-pass OOS winner.
local_breakout_body_ratio_0.73,local,-15.372669702504492,False,False,64.97017960254003,44.0,6.528371714864806,3.8462073934485357,30.617528185697534,37.0,2.5949489713956275,4.585318175867145,-1.6847867682679265,-1.0,-3.1219707335591416,-2.0,Local grid around first-pass breakout body-ratio winner.
local_breakout_body_ratio_0.75,local,-15.372669702504492,False,False,64.97017960254003,44.0,6.528371714864806,3.8462073934485357,30.617528185697534,37.0,2.5949489713956275,4.585318175867145,-1.6847867682679265,-1.0,-3.1219707335591416,-2.0,Local grid around first-pass breakout body-ratio winner.
combo_body108_trend_sol_disabled,targeted,-21.900926863066026,False,False,61.04907869731987,40.0,7.115576970904699,3.846207393448526,32.52015487697825,38.0,2.4410149754427257,4.647685466035636,-5.605887673488084,-5.0,-1.219344042278422,-1.0,
combo_body108_trend_sol_long_only,targeted,-36.36330779747666,False,False,58.322131524775465,43.0,5.861967501494872,3.846207393448526,31.33150681592,40.0,2.3320595664551407,5.4210451348411,-8.33283484603249,-2.0,-2.4079921033366745,1.0,
extended_body108_scorea250_breakbody0715_momrisk_0.021,extended,-103.9128788524756,False,False,46.85278513245005,27.0,9.294727616230915,3.846207393448526,28.61346044449568,22.0,6.785540741615426,3.8916775080494515,-19.802181238357903,-18.0,-5.126038474760996,-17.0,
extended_body108_scorea250_breakbody0715_momrisk_0.022,extended,-103.9128788524756,False,False,46.85278513245005,27.0,9.294727616230915,3.846207393448526,28.61346044449568,22.0,6.785540741615426,3.8916775080494515,-19.802181238357903,-18.0,-5.126038474760996,-17.0,
